Direction,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Outcome
Short,-43,334,345,4555.64439,4587.1527857142855,4587.1527857142855,4493.99442857143,-1354.8610157142612,0.0,-0.00691634223765325,2026-05-05 22:15:00,2026-05-06 02:00:00,0 days 03:45:00,SMC short pullback,Loss
Long,42,418,467,4683.488302000001,4730.156000000001,4659.452,4730.156000000001,1960.0433160000084,0.0,0.009964303312142597,2026-05-06 20:15:00,2026-05-07 09:30:00,0 days 13:15:00,SMC long pullback,Win
Long,42,521,648,4711.861139000001,4659.171,4659.171,4815.828,-2212.9858380000114,0.0,-0.011182447327211076,2026-05-07 23:00:00,2026-05-11 08:45:00,3 days 09:45:00,SMC long pullback,Loss
Short,-41,894,917,4696.440309,4669.792428571429,4710.468785714285,4669.792428571429,1092.5630975713993,0.0,0.005674059218319871,2026-05-14 01:15:00,2026-05-14 07:00:00,0 days 05:45:00,SMC short pullback,Win
Short,-42,918,978,4701.899763,4665.647857142857,4720.731071428571,4665.647857142857,1522.580046000021,0.0,0.007710055016998729,2026-05-14 07:15:00,2026-05-14 22:15:00,0 days 15:00:00,SMC short pullback,Win
Short,-44,1197,1281,4544.325522,4454.405285714286,4589.967357142857,4454.405285714286,3956.4903965714184,0.0,0.019787366871143353,2026-05-19 08:00:00,2026-05-20 06:00:00,0 days 22:00:00,SMC short pullback,Win
Short,-46,1301,1326,4481.95176,4509.823785714286,4509.823785714286,4427.552428571427,-1282.1131828571506,0.0,-0.006218725057024255,2026-05-20 11:00:00,2026-05-20 17:15:00,0 days 06:15:00,SMC short pullback,Loss
Short,-46,1326,1327,4506.189336,4523.7132142857145,4523.7132142857145,4472.493571428572,-806.0984011428482,0.0,-0.0038888464241206844,2026-05-20 17:15:00,2026-05-20 17:30:00,0 days 00:15:00,SMC short pullback,Loss
Long,45,1593,1605,4556.765631,4572.711428571428,4548.109285714287,4572.711428571428,717.5608907142441,0.0,0.0034993675037722216,2026-05-25 15:00:00,2026-05-25 18:00:00,0 days 03:00:00,SMC long pullback,Win
Short,-46,1872,1877,4431.666789,4467.0015,4467.0015,4362.326999999998,-1625.3967060000195,0.0,-0.007973232799836305,2026-05-28 15:45:00,2026-05-28 17:00:00,0 days 01:15:00,SMC short pullback,Loss
Long,44,1996,2057,4542.444199,4488.3247142857135,4488.3247142857135,4649.320571428572,-2381.257327428586,0.0,-0.011914177113325986,2026-05-29 23:45:00,2026-06-01 16:00:00,2 days 16:15:00,SMC long pullback,Loss
Short,-44,2191,2418,4495.380417,4466.08,4542.255928571429,4402.978142857142,1289.2183480000167,0.0,0.006517894879195629,2026-06-03 03:30:00,2026-06-05 14:15:00,2 days 10:45:00,SMC short pullback,Win
Short,-46,2539,2556,4336.276329,4314.214285714285,4347.957857142857,4314.214285714285,1014.853991142887,0.0,0.005087785374324305,2026-06-08 21:30:00,2026-06-09 02:45:00,0 days 05:15:00,SMC short pullback,Win
Long,47,2610,2612,4331.253081999999,4351.451428571429,4320.504285714285,4351.451428571429,949.3222888571763,0.0,0.0046633956014647815,2026-06-09 16:15:00,2026-06-09 16:45:00,0 days 00:30:00,SMC long pullback,Win
Short,-50,2767,2811,4092.3207270000003,4119.2080000000005,4119.2080000000005,4039.773999999999,-1344.3636500000139,0.0,-0.00657017736234744,2026-06-11 09:30:00,2026-06-11 20:30:00,0 days 11:00:00,SMC short pullback,Loss
Long,48,2883,2917,4197.179676,4269.06,4169.161285714285,4251.95742857143,3450.2555520000315,0.0,0.017125862971990813,2026-06-12 15:30:00,2026-06-15 01:00:00,2 days 09:30:00,SMC long pullback,Win
Long,48,3001,3179,4322.83224,4366.715857142855,4300.242071428572,4366.715857142855,2106.4136228570715,0.0,0.01015158921431003,2026-06-15 22:00:00,2026-06-17 20:30:00,1 days 22:30:00,SMC long pullback,Win
Short,-51,3365,3372,4157.934165000001,4183.601142857143,4183.601142857143,4107.8477142857155,-1309.0158707142537,0.0,-0.0061730120869150085,2026-06-22 02:00:00,2026-06-22 03:45:00,0 days 01:45:00,SMC short pullback,Loss
Long,50,3433,3474,4178.197778,4135.1545,4135.1545,4263.031,-2152.163900000005,0.0,-0.010301876619302597,2026-06-22 19:00:00,2026-06-23 06:15:00,0 days 11:15:00,SMC long pullback,Loss
Short,-50,3537,3557,4120.8078780000005,4072.089857142858,4145.785071428571,4072.089857142858,2435.901042857131,0.0,0.01182244411762956,2026-06-23 22:00:00,2026-06-24 04:00:00,0 days 06:00:00,SMC short pullback,Win
Short,-53,3663,3697,3991.610799,4020.018928571428,4020.018928571428,3935.9921428571442,-1505.6308672856926,0.0,-0.007116958792311445,2026-06-25 07:30:00,2026-06-25 16:00:00,0 days 08:30:00,SMC short pullback,Loss
Long,52,3747,3775,3992.759236,4053.0990000000006,3961.9905,4053.0990000000006,3137.6677280000386,0.0,0.015112297144280085,2026-06-26 05:30:00,2026-06-26 12:30:00,0 days 07:00:00,SMC long pullback,Win
Long,53,3868,3924,4031.913151,3982.1350714285713,3982.1350714285713,4130.259857142858,-2638.2382172857297,0.0,-0.012346019794370555,2026-06-29 12:45:00,2026-06-30 03:45:00,0 days 15:00:00,SMC long pullback,Loss
Short,-52,3973,3977,4023.067653,4038.405142857143,4038.405142857143,3993.5997142857136,-797.549472571427,0.0,-0.0038123867605621697,2026-06-30 16:00:00,2026-06-30 17:00:00,0 days 01:00:00,SMC short pullback,Loss
Long,51,3998,4004,4021.5221119999997,4008.2275714285715,4008.2275714285715,4046.9048571428566,-678.0215691428339,0.0,-0.0033058479354765025,2026-06-30 22:15:00,2026-06-30 23:45:00,0 days 01:30:00,SMC long pullback,Loss
Long,51,4113,4155,4048.614821,4089.577714285714,4027.526142857143,4089.577714285714,2089.107557571415,0.0,0.010117755108053572,2026-07-02 05:00:00,2026-07-02 15:30:00,0 days 10:30:00,SMC long pullback,Win
Long,50,4246,4253,4175.167475,4159.9820714285715,4159.9820714285715,4204.285857142857,-759.2701785714326,0.0,-0.003637076515458526,2026-07-03 15:15:00,2026-07-03 17:00:00,0 days 01:45:00,SMC long pullback,Loss
Short,-50,4410,4413,4142.68569,4169.068785714286,4169.068785714286,4091.1624285714297,-1319.1547857142723,0.0,-0.006368597013761246,2026-07-07 14:15:00,2026-07-07 15:00:00,0 days 00:45:00,SMC short pullback,Loss
Short,-50,4549,4605,4087.031256,4134.540571428572,4134.540571428572,3993.238857142857,-2375.4657714285713,0.0,-0.011624407168118633,2026-07-09 03:00:00,2026-07-09 17:00:00,0 days 14:00:00,SMC short pullback,Loss
Long,49,4694,4745,4087.6687260000003,4053.385357142857,4053.385357142857,4155.009285714286,-1679.8850740000148,0.0,-0.008387022323771198,2026-07-10 16:15:00,2026-07-13 06:00:00,2 days 13:45:00,SMC long pullback,Loss
Short,-48,4786,4790,4061.863773,4023.6961428571426,4081.5569285714287,4023.6961428571426,1832.0462468571568,0.0,0.009396580554120293,2026-07-13 16:15:00,2026-07-13 17:15:00,0 days 01:00:00,SMC short pullback,Win
Short,-50,4867,4873,4018.668093,4034.7312857142856,4034.7312857142856,3987.7474285714293,-803.1596357142689,0.0,-0.003997143417309168,2026-07-14 13:30:00,2026-07-14 15:00:00,0 days 01:30:00,SMC short pullback,Loss
Long,49,4899,4969,4046.90465,4061.73,4012.915,4113.67,726.4421500000035,0.0,0.003663380109536263,2026-07-14 21:30:00,2026-07-15 16:00:00,0 days 18:30:00,SMC long pullback,Win
